,sentence
10,"Hence, it is called as lifeblood of business organization."
11,"Whether the business concerns are big or small, they need finance to fulfil their business activities."
12,"In the modern world, all the activities are concerned with the economic activities and very  particular  to  earning  profit  through  any  venture  or  activities."
13,The  entire  business activities are directly related with making profit.
14,"(According to the economics concept of factors of production, rent given to landlord, wage given to labour, interest given to capital and profit given to shareholders or proprietors), a business concern needs finance to meet all  the  requirements."
15,"Hence  finance  may  be  called  as  capital,  investment,  fund  etc.,  but each term is having different meanings and unique characters."
16,Increasing the profit is the main aim of any kind of economic activity.
17,MEANING  OF  FINANCE Finance  may  be  defined  as  the  art  and  science  of  managing  money.
18,It  includes  financial service and financial instruments.
19,Finance also is referred as the provision of money at the time when it is needed.
20,Finance function is the procurement of funds and their effective utilization in business concerns.
21,"The concept of finance includes capital, funds, money, and amount."
22,But each word is having  unique  meaning.
23,Studying  and  understanding  the  concept  of  finance  become  an important part of the business concern.
24,"DEFINITION OF FINANCE According to Khan and Jain,    Finance is the art and science of managing money   ."
25,"2  Financial Management  According to Oxford dictionary, the word    finance    connotes    management of money   ."
26,"Webster   s Ninth New Collegiate Dictionary defines finance as    the Science on study of the management of funds    and the management of fund as the system that includes the circulation of money, the granting of credit, the making of investments, and the provision of banking facilities."
27,"DEFINITION OF BUSINESS FINANCE According  to  the  Wheeler,     Business  finance  is  that  business  activity  which  concerns with the acquisition and conversation of capital funds in meeting financial needs and overall objectives of a business enterprise   ."
28,"According to the Guthumann and Dougall,     Business finance can broadly be defined as  the  activity  concerned  with  planning,  raising,  controlling,  administering  of  the  funds used in the business   ."
29,"In the words of Parhter and Wert,    Business finance deals primarily with raising, administering and disbursing funds by privately owned business units operating in non- financial fields of industry   ."
30,"Corporate  finance  is  concerned  with  budgeting,  financial  forecasting,  cash management,  credit  administration,  investment  analysis  and  fund  procurement  of  the business  concern  and  the  business  concern  needs  to  adopt  modern  technology  and application suitable to the global environment."
31,"According to the Encyclopedia of Social Sciences,    Corporation finance deals with the financial problems of corporate enterprises."
32,"These problems include the financial aspects of the promotion of new enterprises and their administration during early development, the accounting problems connected with the distinction between capital and income, the administrative  questions  created  by  growth  and  expansion,  and  finally,  the  financial adjustments  required  for  the  bolstering  up  or  rehabilitation  of  a  corporation  which  has come into financial difficulties   ."
33,"TYPES OF FINANCE Finance is one of the important and integral part of business concerns, hence, it plays a major role in every part of the business activities."
34,It is used in all the area of the activities under the different names.
35,Finance can be classified into two major parts:  Introduction to Financial Management  3  Finance  Private  Finance  Public  Finance  Individual Finance  Partnership  Finance  Business Finance  Central  Government   State  Semi  Government   Government  Fig.
36,"1.1 Types of Finance  Private  Finance,  which  includes  the  Individual,  Firms,  Business  or  Corporate  Financial activities to meet the requirements."
37,"Public Finance which concerns with revenue and disbursement of Government such  as Central Government, State Government and Semi-Government Financial matters."
38,DEFINITION OF FINANCIAL MANAGEMENT Financial management is an integral part of overall management.
39,It is concerned with the duties of the financial managers in the business firm.
40,"The term financial management has been defined by Solomon,    It is concerned with  the efficient use of an important economic resource namely, capital funds   ."
41,The most popular and acceptable definition of financial management as given by S.C. Kuchal is that    Financial Management deals with procurement of funds and their effective utilization in the business   .
42,Howard and Upton : Financial management    as an application of general managerial  principles to the area of financial decision-making.
43,"Weston and Brigham : Financial management    is an area of financial decision-making,  harmonizing individual motives and enterprise goals   ."
44,Joshep and Massie : Financial management    is the operational activity of a business that is responsible for obtaining and effectively utilizing the funds necessary for efficient operations.
45,"Thus,  Financial  Management  is  mainly  concerned  with  the  effective  funds management  in  the  business."
46,"In  simple  words,  Financial  Management  as  practiced  by business firms can be called as Corporation Finance or Business Finance."
47,"4  Financial Management  SCOPE OF FINANCIAL MANAGEMENT Financial management is one of the important parts of overall management, which is directly related  with  various  functional  departments  like  personnel,  marketing  and  production."
48,Financial management covers wide area with multidimensional approaches.
49,The following are the important scope of financial management.
50,1.
51,Financial  Management  and  Economics  Economic concepts like micro and macroeconomics are directly applied with the financial  management  approaches.
52,"Investment  decisions,  micro  and  macro environmental factors are closely associated with the functions of financial manager."
53,"Financial management also uses the economic equations like money value discount factor,  economic  order  quantity  etc."
54,"Financial  economics  is  one  of  the  emerging area,  which  provides  immense  opportunities  to  finance,  and  economical  areas."
55,2.
56,Financial  Management  and  Accounting  Accounting  records  includes  the  financial  information  of  the  business  concern.
57,"Hence, we can easily understand the relationship between the financial management and accounting."
58,"In the olden periods, both financial management and accounting are  treated  as  a  same  discipline  and  then  it  has  been  merged  as  Management Accounting  because  this  part  is  very  much  helpful  to  finance  manager  to  take decisions."
59,But  nowaday   s  financial  management  and  accounting  discipline  are separate  and  interrelated.
60,3.
61,Financial  Management  or  Mathematics  Modern  approaches  of  the  financial  management  applied  large  number  of mathematical  and  statistical  tools  and  techniques.
62,They  are  also  called  as econometrics.
63,"Economic  order  quantity,  discount  factor,  time  value  of  money, present value of money, cost of capital, capital structure theories, dividend theories, ratio analysis and working capital analysis are used as mathematical and statistical tools  and  techniques  in  the  field  of  financial  management."
64,4.
65,"Financial  Management  and  Production  Management  Production  management  is  the  operational  part  of  the  business  concern,  which helps  to  multiple  the  money  into  profit."
66,Profit  of  the  concern  depends  upon  the production  performance.
67,"Production  performance  needs  finance,  because production department requires raw material, machinery, wages, operating expenses etc."
68,These  expenditures  are  decided  and  estimated  by  the  financial  department and the finance manager allocates the appropriate finance to production department.
69,The  financial  manager  must  be  aware  of  the  operational  process  and  finance required  for  each  process  of  production  activities.
70,5.
71,Financial  Management  and  Marketing  Produced  goods  are  sold  in  the  market  with  innovative  and  modern  approaches.
72,"For  this,  the  marketing  department  needs  finance  to  meet  their  requirements."
73,Introduction to Financial Management  5  The financial manager or finance department is responsible to allocate the adequate finance to the marketing department.
74,"Hence, marketing and financial management are  interrelated  and  depends  on  each  other."
75,6.
76,"Financial  Management  and  Human  Resource  Financial  management  is  also  related  with  human  resource  department,  which provides  manpower  to  all  the  functional  areas  of  the  management."
77,"Financial manager  should  carefully  evaluate  the  requirement  of  manpower  to  each department and allocate the finance to the human resource department as wages, salary,  remuneration,  commission,  bonus,  pension  and  other  monetary  benefits to  the  human  resource  department."
78,"Hence,  financial  management  is  directly related  with  human  resource  management."
79,OBJECTIVES OF FINANCIAL MANAGEMENT Effective procurement and efficient use of finance lead to proper utilization of the finance by the business concern.
80,It is the essential part of the financial manager.
81,"Hence, the financial manager must determine the basic objectives of the financial management."
82,Objectives of Financial Management may be broadly divided into two parts such as:  1.
83,Profit  maximization 2.
84,Wealth  maximization.
85,Wealth Profit  Objectives  Fig.
86,1.2 Objectives of Financial Management  Profit Maximization Main  aim  of  any  kind  of  economic  activity  is  earning  profit.
87,A  business  concern  is  also functioning mainly for the purpose of earning profit.
88,Profit is the measuring techniques to understand the business efficiency of the concern.
89,"Profit maximization is also the traditional and  narrow  approach,  which  aims  at,  maximizes  the  profit  of  the  concern."
90,Profit maximization consists of the following important features.
91,1.
92,Profit  maximization  is  also  called  as  cashing  per  share  maximization.
93,It  leads  to  maximize  the  business  operation  for  profit  maximization.
94,2.
95,"Ultimate aim of the business concern is earning profit, hence, it considers all the  possible  ways  to  increase  the  profitability  of  the  concern."
96,6  Financial Management  3.
97,Profit  is  the  parameter  of  measuring  the  efficiency  of  the  business  concern.
98,So  it  shows  the  entire  position  of  the  business  concern.
99,4.
100,Profit  maximization  objectives  help  to  reduce  the  risk  of  the  business.
101,Favourable Arguments for Profit Maximization The following important points are in support of the profit maximization objectives of the business  concern:  (i) Main  aim  is  earning  profit.
102,(ii) Profit  is  the  parameter  of  the  business  operation.
103,(iii) Profit  reduces  risk  of  the  business  concern.
104,(iv) Profit  is  the  main  source  of  finance.
105,(v) Profitability  meets  the  social  needs  also.
106,Unfavourable Arguments for Profit Maximization The following important points are against the objectives of profit maximization:  (i) Profit  maximization  leads  to  exploiting  workers  and  consumers.
107,"(ii) Profit  maximization  creates  immoral  practices  such  as  corrupt  practice,  unfair  trade  practice,  etc."
108,"(iii) Profit maximization objectives leads to inequalities among the sake holders such  as  customers,  suppliers,  public  shareholders,  etc."
109,"Drawbacks of Profit Maximization Profit maximization objective consists of certain drawback also:  (i) It is vague: In this objective, profit is not defined precisely or correctly."
110,It creates  (ii)  some  unnecessary  opinion  regarding  earning  habits  of  the  business  concern.
111,It ignores the time value of money: Profit maximization does not consider the time  value  of  money  or  the  net  present  value  of  the  cash  inflow.
112,It  leads  certain differences  between  the  actual  cash  inflow  and  net  present  cash  flow  during  a particular  period.
113,(iii) It  ignores  risk:  Profit  maximization  does  not  consider  risk  of  the  business concern.
114,Risks may be internal or external which will affect the overall operation of  the  business  concern.
115,"Wealth Maximization Wealth maximization is one of the modern approaches, which involves latest innovations and improvements in the field of the business concern."
116,The term wealth means shareholder wealth or the wealth of the persons those who are involved in the business concern.
117,Wealth  maximization  is  also  known  as  value  maximization  or  net  present  worth  maximization.
118,This objective is an universally accepted concept in the field of business.
119,Introduction to Financial Management  7  Favourable Arguments for Wealth Maximization  (i) Wealth maximization is superior to the profit maximization because the main aim of  the  business  concern  under  this  concept  is  to  improve  the  value  or  wealth  of the  shareholders.
120,(ii) Wealth maximization considers the comparison of the value to cost associated with the  business  concern.
121,Total  value  detected  from  the  total  cost  incurred  for  the business  operation.
122,It  provides  extract  value  of  the  business  concern.
123,(iii) Wealth  maximization  considers  both  time  and  risk  of  the  business  concern.
124,(iv) Wealth  maximization  provides  efficient  allocation  of  resources.
125,(v)  It  ensures  the  economic  interest  of  the  society.
126,Unfavourable Arguments for Wealth Maximization  (i) Wealth maximization leads to prescriptive idea of the business concern but it may  not  be  suitable  to  present  day  business  activities.
127,"(ii) Wealth  maximization  is  nothing,  it  is  also  profit  maximization,  it  is  the  indirect  name  of  the  profit  maximization."
128,(iii) Wealth  maximization  creates  ownership-management  controversy.
129,(iv) Management  alone  enjoy  certain  benefits.
130,(v) The ultimate aim of the wealth maximization objectives is to maximize the profit.
131,(vi) Wealth maximization can be activated only with the help of the profitable position  of  the  business  concern.
132,"APPROACHES TO FINANCIAL MANAGEMENT Financial  management  approach  measures  the  scope  of  the  financial  management  in various fields, which include the essential part of the finance."
133,Financial management is not  a  revolutionary  concept  but  an  evolutionary.
134,The  definition  and  scope  of  financial management  has  been  changed  from  one  period  to  another  period  and  applied  various innovations.
135,"Theoretical points of view, financial management approach may be broadly divided into two major parts."
136,Approach  Traditional Approach  Modern Approach  Fig.
137,"1.3 Approaches to Finance Management  8  Financial Management  Traditional Approach Traditional approach is the initial stage of financial management, which was followed, in the early part of during the year 1920 to 1950."
138,This approach is based on the past experience and the traditionally accepted methods.
139,Main part of the traditional approach is rising of funds for the business concern.
140,Traditional approach consists of the following important area.
141,Arrangement of funds from lending body.
142,Arrangement of funds through various financial instruments.
143,Finding out the various sources of funds.
144,"FUNCTIONS OF FINANCE MANAGER Finance  function  is  one  of  the  major  parts  of  business  organization,  which  involves  the permanent, and continuous process of the business concern."
145,"Finance is one of the interrelated functions which deal with personal function, marketing function, production function and research  and  development  activities  of  the  business  concern."
146,"At  present,  every  business concern concentrates more on the field of finance because, it is a very emerging part which reflects the entire operational and profit ability position of the concern."
147,Deciding the proper financial function is the essential and ultimate goal of the business organization.
148,Finance manager is one of the important role players in the field of finance function.
149,"He  must  have  entire  knowledge  in  the  area  of  accounting,  finance,  economics  and management."
150,His position is highly critical and analytical to solve various problems related to finance.
151,A person who deals finance related activities may be called finance manager.
152,Finance manager performs the following major functions: 1.
153,Forecasting  Financial  Requirements  It is the primary function of the Finance Manager.
154,He is responsible to estimate the financial requirement of the business concern.
155,"He should estimate, how much finances required to acquire fixed assets and forecast the amount needed to meet the  working  capital  requirements  in  future."
156,2.
157,"Acquiring  Necessary  Capital  After deciding the financial requirement, the finance manager should concentrate how the finance is mobilized and where it will be available."
158,It is also highly critical in  nature.
159,3.
160,Investment  Decision  The finance manager must carefully select best investment alternatives and consider the  reasonable  and  stable  return  from  the  investment.
161,He  must  be  well  versed in  the  field  of  capital  budgeting  techniques  to  determine  the  effective  utilization of  investment.
162,"The  finance  manager  must  concentrate  to  principles  of  safety, liquidity  and  profitability  while  investing  capital."
163,Introduction to Financial Management  4.
164,Cash  Management  9  Present days cash management plays a major role in the area of finance because proper cash management is not only essential for effective utilization of cash but it  also  helps  to  meet  the  short-term  liquidity  position  of  the  concern.
165,5.
166,"Interrelation  with  Other  Departments  Finance  manager  deals  with  various  functional  departments  such  as  marketing, production, personel, system, research, development, etc."
167,Finance manager should have  sound  knowledge  not  only  in  finance  related  area  but  also  well  versed  in other  areas.
168,He  must  maintain  a  good  relationship    with  all  the  functional departments  of  the  business  organization.
169,V  I - t n e m  t r a p e D  s d n u F g n g a n a M  i  Department-I  Forecasting Funds  Finance Manager  Investing Funds Department-II  A c c q u r i n g F u n d s     D e p a r t  m e n t - I I I  Fig 1.4 Functions of Financial Manager  IMPORTANCE OF FINANCIAL MANAGEMENT Finance is the lifeblood of business organization.
170,It needs to meet the requirement of the business  concern.
171,Each  and  every  business  concern  must  maintain  adequate  amount  of finance for their smooth running of the business concern and also maintain the business carefully to achieve the goal of the business concern.
172,The business goal can be achieved only with the help of effective management of finance.
173,We can   t neglect the importance of finance  at  any  time  at  and  at  any  situation.
174,Some  of  the  importance  of  the  financial management is as follows:  Financial Planning Financial management helps to determine the financial requirement of the business concern and leads to take financial planning of the concern.
175,"Financial planning is an important part of the business concern, which helps to promotion of an enterprise."
176,Acquisition of Funds Financial management involves the acquisition of required finance to the business concern.
177,"Acquiring  needed  funds  play  a  major  part  of  the  financial  management,  which  involve possible source of finance at minimum cost."
178,10  Financial Management  Proper Use of Funds Proper use and allocation of funds leads to improve the operational efficiency of the business concern.
179,"When the finance manager uses the funds properly, they can reduce the cost of capital and increase the value of the firm."
180,Financial Decision Financial  management  helps  to  take  sound  financial  decision  in  the  business  concern.
181,Financial decision will affect the entire business operation of the concern.
182,"Because there is a  direct  relationship  with  various  department  functions  such  as  marketing,  production personnel,  etc."
183,Improve Profitability Profitability of the concern purely depends on the effectiveness and proper utilization of funds  by  the  business  concern.
184,"Financial  management  helps  to  improve  the  profitability position of the concern with the help of strong financial control devices such as budgetary control, ratio analysis and cost volume profit analysis."
185,Increase the Value of the Firm Financial management is very important in the field of increasing the wealth of the investors and the business concern.
186,Ultimate aim of any business concern will achieve the maximum profit and higher profitability leads to maximize the wealth of the investors as well as the nation.
187,Promoting Savings Savings  are  possible  only  when  the  business  concern  earns  higher  profitability  and maximizing  wealth.
188,Effective  financial  management  helps  to  promoting  and  mobilizing individual and corporate savings.
189,Nowadays  financial  management  is  also  popularly  known  as  business  finance  or corporate  finances.
190,The  business  concern  or  corporate  sectors  cannot  function  without the importance of the financial management.
191,MODEL QUESTIONS  1.
192,What  is  finance?
193,Define  business  finance.
194,2.
195,Explain  the  types  of  finance.
196,3.
197,Discuss  the  objectives  of  financial  management.
198,4.
199,Critically  evaluate  various  approaches  to  the  financial  management.
200,5.
201,Explain  the  scope  of  financial  management.
202,6.
203,Discuss  the  role  of  financial  manager.
204,7.
205,Explain  the  importance  of  financial  management.
206,"INTRODUCTION A financial statement is an official document of the firm, which explores the entire financial information of the firm."
207,The main aim of the financial statement is to provide information and  understand  the  financial  aspects  of  the  firm.
208,"Hence,  preparation  of  the  financial statement is important as much as the financial decisions."
209,"MEANING AND DEFINITION According  to  Hamptors  John,  the  financial  statement  is  an  organized  collection  of  data according  to  logical  and  consistent  accounting  procedures."
210,Its  purpose  is  to  convey  an understanding of financial aspects of a business firm.
211,"It may show a position at a moment of time as in the case of a balance-sheet or may reveal a service of activities over a given period of time, as in the case of an income statement."
212,"Financial  statements  are  the  summary  of  the  accounting  process,  which,  provides useful  information  to  both  internal  and  external  parties."
